CaseOrder,Population,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Port_modem_Yes,Tablet_Yes,Phone_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,PaperlessBilling_Yes,Contract_One_Year,Contract_Two_Year,InternetService_Fiber_Optic,InternetService_None,PaymentMethod_CC,PaymentMethod_ECheck,PaymentMethod_MCheck
1,38,7.978322947,10,0,1,6.795512947,172.455519,904.5361102,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0
2,10446,11.69907956,12,0,1,1.156680997,242.632554,800.9827661,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0
3,3735,10.75280028,9,0,1,15.75414408,159.947583,2054.706961,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
4,13863,14.91353964,15,2,0,17.08722662,119.95684,2164.579412,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
5,11352,8.147416533,16,2,1,1.670971726,149.948316,271.4934362,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
6,17701,8.420992898,15,3,1,7.000993555,185.007692,1039.357983,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0
7,2535,11.18272453,10,0,1,13.23677381,200.118516,1907.242972,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
8,23144,7.791632265,16,0,0,4.26425515,114.950905,979.6127078,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
9,17351,5.739005915,20,2,3,8.220686373,117.468591,1312.874964,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
10,20193,8.707823904,18,1,0,3.422086139,162.482694,508.7637913,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1
11,555,9.341631685,9,0,2,19.26726194,174.958118,2728.767869,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
12,33372,6.68082638,17,1,1,10.52199781,149.962093,1180.588788,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
13,556,8.273875452,9,0,0,13.01149229,137.439154,1196.388018,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
14,0,5.880565591,14,1,0,16.87922024,184.971516,1948.694497,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0
15,8165,11.79073041,10,3,0,10.06019902,159.965581,1582.295235,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
16,2093,10.79846973,13,1,0,13.87001293,177.65076,1840.014467,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0
17,50079,13.52284721,13,1,0,15.78214958,194.966286,2070.376729,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
18,7249,9.831166695,16,3,0,2.303331273,202.682861,882.0985933,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1
19,9463,9.57470568,11,1,0,17.10995632,152.490739,1833.0967,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0
20,3177,10.92246098,10,1,0,12.80615845,149.944668,1954.080809,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
21,69,12.06889188,14,0,3,20.45390977,184.978458,2330.319383,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
22,14440,6.984819996,18,1,0,2.415991977,127.495766,594.1054279,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0
23,381,9.372975594,16,1,1,6.652298992,124.964303,713.0633088,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
24,2193,7.109002592,9,0,0,8.543717478,149.948316,945.3802928,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0
25,9434,13.74777955,15,1,0,5.770390256,162.511928,870.76398,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0
26,29568,9.767668044,12,1,0,4.157658837,92.455141,774.2937069,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,3089,15.8626095,15,0,1,10.40566091,222.649979,1506.446527,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1
